word,1501-1550,1551-1600,1601-1650,1651-1700,mean,in_lila_embeddings,in_lasla,in_operamaiora,transl
accommodo,517,1389,700,738,836.0,True,True,True,"fitting, convenient, suitable to, adapted to"
potio,947,1519,399,476,835.25,True,True,True,"obtain, acquire, grasp, attain, reach (goal), come by (experiences)"
autumnus,600,1682,560,497,834.75,False,True,False,"of autumn, autumnal"
timeo,507,1330,507,994,834.5,True,True,True,"be scared of, fear, dread, be afraid (ne + SUB = lest, ut or ne non + SUB = that ... not)"
consensus,263,1204,798,1072,834.25,True,True,True,"join/share in sensation/feeling, be in agreement/harmony, be of the same mind"
socius,620,948,711,1055,833.5,True,True,True,companion
flecto,756,1206,707,665,833.5,True,True,True,"bend, curve, bow, turn, curl, persuade, prevail on, soften"
appeto,405,1906,536,484,832.75,True,True,True,"seek/grasp after, desire, assail, strive eagerly/long for, approach (of time), near"
borea,321,615,595,1792,830.75,False,False,False,"northern, pertaining to north wind"
numen,691,812,876,941,830.0,True,True,True,"divine will, divinity, god"
unguis,621,1286,460,953,830.0,True,True,True,"anoint/rub (w/oil/unguent), smear with oil/grease, dress (food w/oil), add oil"
imperfectus,271,1602,652,792,829.25,True,True,True,"unfinished, incomplete, imperfect, not complete in every respect, undigested"
musicus,453,985,590,1288,829.0,True,True,True,"of/belonging to poetry or music, musical"
infans,475,1303,525,1013,829.0,True,True,True,"speechless, inarticulate, new born, childish, foolish"
sublimis,494,1301,609,907,827.75,True,True,True,"elevated, lofty, heroic, noble"
ductus,528,983,653,1147,827.75,True,True,True,"conducting, generalship"
jus,5,44,805,2453,826.75,False,False,False,Law
iaceo,1172,1326,534,272,826.0,True,True,True,"lie, lie prostrate, lie dead"
remotus,251,1045,930,1071,824.25,False,True,False,"removed, far away"
praetereo,464,1069,538,1220,822.75,True,True,True,"to pass, to go past, to go by"
qu,352,1368,323,1245,822.0,False,False,False,
metallicus,485,1214,761,827,821.75,False,False,False,
daemon,270,1498,327,1191,821.5,False,False,True,"spirit, supernatural being, intermediary between man and god, evil demon/devil"
academia,154,627,838,1667,821.5,False,False,False,"academy, university, gymnasium where Plato taught, school built by Cicero"
permaneo,452,1663,584,587,821.5,True,True,True,"last, continue, remain, endure"
vitalis,235,1232,1097,720,821.0,False,False,False,"vital, of life (and death), living/alive, able to survive, lively, life-giving"
africa,498,1133,595,1058,821.0,False,True,False,"African, from the southwest (e.g. sea between Africa and Sicily, wind)"
libet,710,1172,546,843,817.75,True,True,True,"(1.) pour a libation of, pour a libation on (2.) to pour ritually (3.) to sip, touch gently"
pro,399,936,662,1271,817.0,True,True,True,"for, on behalf of, in front of, before, For/on behalf of"
tenuus,497,1410,632,729,817.0,False,False,False,
geometria,280,967,696,1324,816.75,True,True,True,geometry
tardus,471,1319,573,901,816.0,True,True,True,"slow, limping, deliberate, late"
hebraeus,154,1126,270,1713,815.75,False,False,True,"Hebrew, Jewish"
alligo,621,1161,584,891,814.25,True,True,True,"bind/fetter (to), bandage, hinder, impede, detain, accuse, implicate/involve in"
praesentia,373,1683,561,639,814.0,True,True,True,"present, at hand, existing, prompt, in person, propitious"
corrigo,262,962,666,1358,812.0,True,True,True,"correct, set right, straighten, improve, edit, reform, restore, cure, chastise"
debilis,432,1694,595,526,811.75,True,True,True,"weak/feeble/frail, crippled/disabled, wanting/deprived (competence), ineffective"
signo,537,1155,783,770,811.25,True,True,True,"mark, stamp, designate, sign, seal"
ripa,608,817,1032,780,809.25,False,True,False,(1.) river bank (2.) riverside (3.) waterside (4.) shore (5.) embankment (6.) lakefront (7.) lakeshore (8.) lakeside (9.) shore (10.) waterfront (11.) bank (12.) riverfront (13.) river bank (14.) riverside (15.) waterside (16.) shore (17.) embankment (18.) lakefront (19.) lakeshore (20.) lakeside (21.) shore (22.) waterfront
reflecto,211,1376,635,1014,809.0,True,True,True,"bend back, turn back, turn round"
benè,26,935,731,1543,808.75,False,False,False,good
inscribo,685,982,771,797,808.75,True,True,True,"write on/in, inscribe, brand, record as, entitle"
spiro,574,1237,568,854,808.25,True,True,True,"breathe, blow, live, breathe out, exhale, breathe the spirit of"
vapor,116,876,818,1421,807.75,False,False,False,"steam/vapor, exhalation, heat/warmth (of sun), fever, body heat, excited state"
praeditus,443,1229,749,808,807.25,True,True,True,"gifted, provided with"
sed,358,1138,533,1199,807.0,True,True,True,but
admiratio,482,904,584,1258,807.0,True,True,True,"wonder, surprise, astonishment, admiration, veneration, regard, marvel"
antè,283,911,640,1393,806.75,False,False,False,"rows (pl.) (vines/plants), ranks (soldiers), files (cavalry)"
tectum,488,976,859,902,806.25,False,True,False,cover
familiaris,655,1167,493,909,806.0,True,True,True,"domestic, of family, intimate, [familiaris res => one's property or fortune]"
resina,937,1490,418,378,805.75,False,True,False,resin (solid/liquid)
diligentia,647,1176,533,865,805.25,True,True,True,"thorough, careful, diligent"
notitia,470,998,391,1358,804.25,True,True,True,"notice, acquaintance, knowledge"
iniuria,660,1672,316,565,803.25,False,True,False,injustice
cogitatio,336,1485,396,993,802.5,True,True,True,"thinking, meditation, reflection, thought, intention, plan, opinion, reasoning"
diuturnus,412,1428,476,893,802.25,True,True,True,"lasting, lasting long"
complector,520,1159,639,890,802.0,True,True,True,"embrace, hug, welcome, encircle, encompass, attain, include, bring in, involve"
rogo,389,838,481,1500,802.0,True,True,True,"ask, request, beg"
consumo,474,1430,538,765,801.75,True,True,True,"destroy, consume"
astrologus,645,1524,420,618,801.75,False,False,True,"astronomer, one who studies the heavens/predicts from the stars, astrologer"
uiscera,297,1011,720,1175,800.75,False,False,True,
pictura,541,1127,1004,527,799.75,True,True,True,"paint, tint, color, adorn/decorate w/colored designs, paint/draw/depict/portray"
uultus,346,1088,920,837,797.75,True,True,True,
germanicus,422,1000,775,994,797.75,False,True,False,German
canus,545,1331,515,798,797.25,True,True,True,"white, gray, aged, old, wise, hoary, foamy, white-capped, white w/snow/frost"
pecus,691,1337,449,710,796.75,True,True,True,"herd, flock, cattle, sheep, farm animals (pl.), pastures (L+S), money"
exploro,302,969,593,1322,796.5,True,True,True,"to discover, to learn about"
bestia,540,1274,348,1023,796.25,False,True,False,"beast, animal, creature, wild beast/animal, beast of prey in arena"
seruus,626,1231,468,857,795.5,True,True,True,"slave, slaves (male)"
capillus,563,1547,492,573,793.75,True,True,True,"hair, hair of head, single hair, hair/fur/wool of animals, hair-like fiber"
illustris,523,799,739,1114,793.75,True,True,True,"bright, shining, brilliant, clear, lucid, illustrious, distinguished, famous"
massa,273,859,619,1422,793.25,True,True,True,"mace, club"
praefero,469,1111,573,1019,793.0,True,True,True,
intueor,438,1453,568,705,791.0,True,True,True,"look at, consider, regard, admire, stare"
boreus,215,492,1163,1291,790.25,False,False,False,"northern, pertaining to north wind"
firmo,518,1101,571,970,790.0,True,True,True,strong
damno,504,1116,539,996,788.75,True,True,True,"pass, pronounce judgment, find guilty, deliver, condemn, sentence, harm, damn, doom, condemn, sentence, condemn, sentence"
praesum,502,1244,613,796,788.75,True,True,True,"pig, pork, swine"
fo,1295,872,360,628,788.75,False,False,False,"speak (prophetically), talk, foretell"
fera,601,1189,489,873,788.0,False,True,False,"wild, savage, uncivilized, untamed, fierce"
augustinus,750,709,741,950,787.5,False,False,True,"Augustine, (St./Bishop of Hippo, 354-430, author of Confessions, City of God)"
possideo,433,1562,456,697,787.0,True,True,True,"possess, own, have"
uinculum,549,1321,480,797,786.75,True,True,True,
competo,173,1410,824,739,786.5,True,True,True,"meet, happen at same time, coincide, agree, be candidate/face (death) together"
pilum,442,1454,524,726,786.5,False,True,False,"javelin, heavy iron-tipped throwing spear, pike"
mineralis,44,661,704,1736,786.25,False,False,True,"mineral-, having the nature of mineral, obtained from the bowels of the earth"
doctor,613,869,662,995,784.75,True,True,True,"teacher, instructor, trainer, doctor"
occultus,397,1156,659,925,784.25,False,True,False,"cover, cover up, hide, cover over, conceal"
bini,286,978,932,940,784.0,False,False,False,"two by two, 2 each, in pairs, 2 at time, on 2 occasions, double, twofold"
purpura,359,1417,676,683,783.75,True,True,True,"purple color, purple, purple dye, purple-dyed cloth"
adiungo,539,1480,655,458,783.0,True,True,True,connect
ualidus,708,1612,368,442,782.5,True,True,True,
diuus,1031,1345,433,321,782.5,False,True,False,
fames,484,1184,569,888,781.25,True,True,True,hunger
festus,352,1327,571,867,779.25,True,True,True,"festive, joyous, holiday, feast day, merry, solemn"
quòad,262,1507,474,871,778.5,False,False,False,"as long as, until"
collis,485,942,832,854,778.25,True,True,True,"hill, hillock, eminence, hill-top, mound, high ground, mountains (pl.) (poetic)"
ceo,485,1312,373,937,776.75,False,False,False,
impello,511,979,459,1155,776.0,True,True,True,"drive, persuade, impel, urge on, action, push, thrust, strike against, overthrow"
pagina,359,1363,530,850,775.5,False,True,False,"page, sheet"
ritus,549,1195,503,852,774.75,True,True,True,"rite, ceremony"
lana,639,1430,300,726,773.75,True,True,True,"wool, fleece, soft hair, down, trifles"
consentio,291,1232,640,929,773.0,True,True,True,"join/share in sensation/feeling, be in agreement/harmony, be of the same mind"
unguentum,575,1871,232,411,772.25,True,True,True,"oil, ointment, perfume"
prudentia,413,1018,593,1064,772.0,True,True,True,wisdom
limes,446,802,975,863,771.5,True,True,True,"file, polish, file down, detract gradually from"
eximius,369,803,621,1288,770.25,False,True,False,"select, extraordinary/special, excellent, [Doctor Eximius => Francis Suarez]"
sio,441,1355,427,855,769.5,False,False,False,
unda,818,543,991,726,769.5,True,True,True,"surge/flood/rise in waves, gush/well up, run, stream, billow, undulate, waver"
hordeum,620,1837,297,322,769.0,True,True,True,"barley (the plant or the grain from it), barley-corn"
imaginatio,180,1455,588,851,768.5,False,False,True,"imagination, fancy"
crassior,445,1403,649,569,766.5,False,False,False,"thick/deep, thick coated (w/ABL), turbid/muddy (river), dense/concentrated/solid, fat"
spargo,610,1148,657,650,766.25,True,True,True,"scatter, strew, sprinkle, spot"
nitrum,640,868,611,944,765.75,False,True,False,name of various alkalis (esp. soda and potash but probably not nitre)
interpretatio,501,868,667,1024,765.0,True,True,True,"interpretation, meaning"
serenus,291,729,474,1564,764.5,True,True,True,"clear, fair, bright, serene, tranquil, cheerful, glad"
amicitia,511,935,399,1207,763.0,True,True,True,friendship
halitus,273,779,629,1365,761.5,False,True,False,"breath, steam, vapor"
concauus,249,1142,614,1038,760.75,True,True,True,
uter,799,968,513,763,760.75,False,True,False,
septentrio,949,934,617,543,760.75,False,True,False,"Big/Little Dipper (s./pl.), north, north regions/wind, brooch w/7 stones"
loco,629,1191,417,803,760.0,True,True,True,"place, location"
animaduerto,458,1477,559,538,758.0,True,True,True,
ostium,447,638,990,956,757.75,True,True,True,"doorway, door, starting gate, entrance (underworld), (river) mouth"
dictio,759,1448,297,526,757.5,True,True,True,"speaking/saying/uttering (action), declaration of judgment/penalty, prediction"
pingo,409,1146,788,684,756.75,True,True,True,"paint, tint, color, adorn/decorate w/colored designs, paint/draw/depict/portray"
dormio,372,1680,420,551,755.75,True,True,True,sleep
magister,439,1107,471,1004,755.25,True,True,True,teacher
florus,395,1343,708,573,754.75,False,True,False,Florus
editio,84,420,862,1653,754.75,True,True,True,"publishing, edition, statement"
usu,243,1055,818,899,753.75,False,False,False,"use, benefit, advantage"
uitis,1048,1272,300,394,753.5,True,True,True,
natiuus,426,1243,740,604,753.25,False,True,False,
laetus,581,630,612,1181,751.0,True,True,True,"happy, cheerful"
musa,506,693,755,1048,750.5,False,True,False,"muse (one of the goddesses of poetry, music, etc.), sciences/poetry (pl.)"
ne,514,1058,441,988,750.25,True,True,True,"spin, weave, produce by spinning"
conspectus,386,923,625,1059,748.25,True,True,True,"spot, see"
indicus,428,972,757,832,747.25,False,True,False,Indian
ligo,459,1363,395,768,746.25,True,True,True,"bind, tie, fasten, unite"
examino,273,603,612,1496,746.0,True,True,True,"weigh, examine, consider"
ioannis,292,603,1753,334,745.5,False,False,False,John
incendium,319,740,747,1175,745.25,True,True,True,fire
subdo,595,1258,502,622,744.25,True,True,True,"place under, apply, supply"
appellatio,642,1267,531,537,744.25,True,True,True,"appeal (to higher authority), name, term, noun, title, rank, pronunciation"
detraho,610,1274,452,639,743.75,True,True,True,"drag/pull/strip/take down/away/off, remove, exclude, omit, cut out, subtract"
amplitudo,786,749,665,767,741.75,True,True,True,"greatness, extent, breadth, width, bulk, importance, fullness (of expression)"
expers,413,1381,473,700,741.75,True,True,True,"free from (w/GEN), without, lacking experience, immune from"
orno,448,899,686,933,741.5,True,True,True,"adorn, decorate"
propago,516,851,743,855,741.25,True,True,True,"propagate, extend, enlarge, increase"
littus,691,646,766,861,741.0,False,False,False,"shore, seashore, coast, strand, river bank, beach, landing place"
cit,383,852,528,1200,740.75,False,False,False,"excite, rouse, stir up, move, set in motion, summon, urge on"
iris,424,1065,813,659,740.25,True,True,True,"anger, wrath, rage"
sono,382,747,471,1360,740.0,True,True,True,"make a noise/sound, speak/utter, emit sound, be spoken of (as), express/denote"
monstrum,276,691,431,1562,740.0,True,True,True,"monster, portent, unnatural thing/event regarded as omen/sign/portent"
promitto,467,890,527,1073,739.25,True,True,True,"send forth, promise"
gula,506,1298,525,628,739.25,True,True,True,"throat, neck, gullet, maw, palate, appetite"
tropicus,679,902,621,746,737.0,False,False,True,
etiam,400,1035,526,984,736.25,True,True,True,"also, too, even, still, again, moreover, as well as"
odoratus,727,1401,431,384,735.75,True,True,True,"perfume, make fragrant"
caeruleus,366,638,1171,764,734.75,False,True,False,"blue, cerulean, dark, greenish-blue, azure, of river/sea deities, of sky/sea"
expedio,408,994,546,988,734.0,True,True,True,"disengage, loose, set free, be expedient, procure, obtain, make ready"
noxius,502,1156,563,714,733.75,True,True,True,"harmful, noxious, guilty, criminal"
columba,202,1271,255,1206,733.5,True,True,True,bill and coo
regimen,208,1916,345,462,732.75,True,True,True,"control, steering, direction"
uulgo,447,1104,627,746,731.0,False,True,False,
abeo,365,955,623,978,730.25,True,True,True,"bless, make happy, gladden, delight, enrich (with)"
egregius,524,833,528,1034,729.75,False,True,False,"singular, distinguished, exceptional, extraordinary, eminent, excellent"
inimicus,449,1194,491,785,729.75,True,True,True,"unfriendly, hostile, harmful"
simus,431,1339,455,694,729.75,False,False,True,"flatnosed, snub-nosed, having flattened nose, flatten/splayed (nose/other)"
tutus,462,1075,645,736,729.5,False,True,False,"see, look at, protect, watch, uphold"
procreo,440,1348,634,494,729.0,True,True,True,"procreate, give birth"
ror,428,774,826,887,728.75,False,False,False,
concilio,264,1036,567,1047,728.5,True,True,True,"assembly, gathering, convention"
doleo,631,1267,383,633,728.5,True,True,True,"grieve, suffer, hurt, give pain"
ali,483,1284,412,727,726.5,False,False,False,"nourish, support, sustain, increase, cherish"
liquo,408,971,621,903,725.75,False,False,False,"melt, strain"
naris,631,1456,294,521,725.5,True,True,True,"swim, float"
intimus,341,959,580,1017,724.25,False,False,True,"inmost, most secret, most intimate"
vtrum,274,1115,767,738,723.5,False,False,False,"either, which (of two), each"
iulius,487,1003,754,644,722.0,True,True,True,Julius
expositio,585,881,663,753,720.5,False,False,True,"statement, description, explanation, narration, exposing (of a child)"
aliàs,399,860,581,1035,718.75,False,False,False,"someone else, other, another"
persuadeo,359,896,521,1095,717.75,True,True,True,"(1.) persuade, convince, induce (2.) make sweet, persuade (3.) persuade, convince, induce"
humilis,491,914,756,708,717.25,True,True,True,"lowly, humble"
occidens,614,960,765,526,716.25,False,True,False,"fall down, die, set"
celeritas,321,924,496,1120,715.25,True,True,True,"speed, quickness, rapidity, speed of action, dispatch, haste, early date"
metior,303,1290,597,670,715.0,True,True,True,"measure, estimate, distribute, mete, traverse, sail/walk through"
plurimus,430,1158,526,742,714.0,False,False,False,most
robustus,358,1528,449,518,713.25,True,True,True,"of oak, hard/firm/solid, hardy/robust/durable, able to resist change, valiant"
tingo,464,975,603,809,712.75,True,True,True,"wet/moisten/dip/soak, color/dye/tinge/tint, stain (w/blood), imbue, impregnate"
aedes,318,855,715,961,712.25,False,True,False,"temple, shrine, tomb, apartment, room, house (pl.), abode, dwelling, household"
aestimo,254,683,722,1189,712.0,True,True,True,"value, assess, estimate, reckon, consider, judge (situation), esteem"
auditus,391,1311,434,711,711.75,True,True,True,"hear, listen to, to Hear, to Listen"
tenebra,337,1066,623,821,711.75,False,False,True,"darken, make dark"
fel,396,1679,355,415,711.25,True,True,True,"gall, bile, poison, bitterness, venom, gall bladder"
for,582,1460,358,443,710.75,True,True,True,"speak (prophetically), talk, foretell"
paries,272,914,667,988,710.25,True,True,True,"bear, give birth to, beget, bring forth, produce, lay (eggs), create, acquire"
lineus,283,1046,761,747,709.25,True,True,True,made of flax or linen
emergo,367,809,638,1018,708.0,True,True,True,"rise up out of the water, emerge, escape, appear, arrive"
multum,398,1294,443,695,707.5,False,True,False,much
umbilicus,590,1090,388,759,706.75,False,True,False,"navel, middle, center, center of country/region, ornamented end of scroll"
fabrica,557,609,710,950,706.5,False,True,False,"build/construct/fashion/forge/shape, train, get ready (meal), invent/devise"
desiderium,278,1133,523,886,705.0,True,True,True,"desire/longing/want/requirement, desire/grief/regret for dead/absent/loss"
praesidium,392,1242,381,803,704.5,True,True,True,"protection, help, guard, garrison, detachment, protection, protection"
ruo,527,761,599,930,704.25,True,True,True,"destroy, ruin, overthrow, rush on, run, fall, charge (in + ACC), be ruined"
ras,485,1212,429,690,704.0,False,False,False,
stercus,488,1504,387,437,704.0,True,True,True,"filth, manure"
priuo,475,1514,343,483,703.75,True,True,True,
interitus,323,1480,407,604,703.5,True,True,True,"ruin, violent/untimely death, extinction, destruction, dissolution"
motio,226,1482,401,704,703.25,False,False,True,"motion, movement, shivering, ague, removal"
lutum,331,1359,454,668,703.0,True,True,True,"pay, pay fine, compensate/atone, [poenam ~ => suffer punishment as expiation]"
turbo,460,863,599,886,702.0,True,True,True,"disturb, agitate, throw into confusion"
delecto,458,979,467,899,700.75,True,True,True,"please (sb.), delight (sb)."
uirga,584,1202,350,667,700.75,True,True,True,
persona,383,892,629,895,699.75,True,True,True,"make loud/continuous/pervasive noise/loud music, ring/resound, chant/shout out"
conspico,378,948,759,713,699.5,False,False,False,"catch sight of, see, observe, notice, perceive, be conspicuous, be regarded"
praedo,373,1085,657,681,699.0,False,True,False,"pillage, despoil, plunder, rob/ravish/take, acquire loot (robbery/war), catch"
arabicus,409,738,435,1212,698.5,False,True,False,
chymicus,17,212,733,1831,698.25,False,False,False,
rit,567,1205,315,704,697.75,False,False,False,
pareo,438,1190,509,653,697.5,True,True,True,"be obedient, obey"
manè,47,260,279,2204,697.5,False,False,False,"in the morning, early in the morning"
salsus,453,1267,591,471,695.5,False,True,False,"salt, salt down, preserve with salt, sprinkle before sacrifice"
modo,597,1057,450,675,694.75,False,True,False,"(1.) measure, bound, limit (2.) manner, method, mode, way"
pugna,524,1269,375,610,694.5,True,True,True,"fight, battle"
telum,526,991,571,687,693.75,False,True,False,(1.) (projectile) weapon (2.) Dart
utrun,687,1831,195,53,691.5,False,False,False,
inficio,514,993,542,716,691.25,True,True,True,"corrupt, infect, imbue, poison, dye, stain, color, spoil"
graecia,632,834,442,856,691.0,False,True,False,Greece
puella,777,748,498,741,691.0,True,True,True,girl
concursus,177,948,804,834,690.75,True,True,True,"run/assemble/knock/snap together, agree, fit, concur, coincide, make same claim"
poëta,508,670,539,1045,690.5,False,False,False,poet
dam,528,1265,291,677,690.25,False,False,False,
comperio,460,1147,370,783,690.0,True,True,True,"learn/discover/find (by investigation), verify/know for certain, find guilty"
destituo,330,884,523,1023,690.0,True,True,True,"fix/set (in position), set down, make fast, leave destitute/without, render, void, abandon"
matutinus,500,685,471,1098,688.5,True,True,True,"early, of the (early) morning"
aether,329,657,597,1170,688.25,False,True,False,
exicco,273,2214,142,123,688.0,False,False,False,"dry up, empty (vessel)"
ar,402,1302,365,678,686.75,False,False,False,
seculum,273,820,577,1075,686.25,False,False,False,"world/universe, secular/temporal/earthly/worldly affairs/cares/temptation"
priscus,679,739,578,743,684.75,False,True,False,"ancient, early, former"
praeclarus,501,746,490,1001,684.5,True,True,True,"very clear, splendid, famous, bright, illustrious, noble, distinguished"
flus,471,1016,725,525,684.25,False,False,False,
exsto,424,482,789,1038,683.25,True,True,True,"stand forth/out, exist, be extant/visible, be on record"
mysterium,204,1124,468,935,682.75,False,False,True,"mysterious, of a mystery/secret rite"
vtilis,476,1128,545,576,681.25,False,False,False,"useful, advantageous"
illumino,100,913,905,804,680.5,False,False,True,"illuminate, color"
comprobo,206,1062,623,830,680.25,True,True,True,"approve, accept, sanction, ratify, prove, justify, confirm, attest, bear out"
concretus,488,834,618,779,679.75,True,True,True,"mix/mingle together (as in sieve in order to separate by sifting), sift/examine"
donum,510,938,602,669,679.75,True,True,True,"gift, present, give"
uero,759,1278,281,400,679.5,False,True,False,
dubium,226,917,582,993,679.5,False,True,False,doubt
secta,295,1230,532,657,678.5,True,True,True,"cut, sever, decide, divide in two/halve/split, slice/chop/cut up/carve, detach"
glacies,237,860,504,1112,678.25,True,True,True,freeze
truncus,394,616,858,844,678.0,True,True,True,trunk (of a tree)
natalis,320,779,595,1016,677.5,True,True,True,"birthday party, christmas"
illitus,734,1599,215,160,677.0,False,False,False,"smear over, anoint"
eruditio,539,486,449,1231,676.25,True,True,True,"instruction/teaching/education, learning/erudition, taught knowledge, culture"
ater,467,1395,431,410,675.75,False,True,False,"black, dark, dark-colored (hair/skin), gloomy/murky, unlucky, sordid/squalid"
uehemens,366,1676,238,411,672.75,True,True,True,
palmus,322,1256,389,723,672.5,True,True,True,"palm of the hand, width of palm as unit of measure (4 inches), span (L+S)"
lius,714,968,319,688,672.25,False,False,False,
adstringo,282,1815,247,343,671.75,False,False,False,"tie up/down/back/on/together/tightly, bind, grasp, tighten, fix, form boundary"
mola,229,804,540,1112,671.25,False,True,False,"millstone, ground meal, mill (pl.) [salsa ~ => salted meal, for sacrifices]"
discipulus,433,972,511,767,670.75,True,True,True,"student, pupil"
repugno,269,1018,497,897,670.25,True,True,True,"fight back, oppose, be incompatible with, disagree with"
exercitium,282,1378,439,580,669.75,False,False,True,"exercise, training, practice, proficiency/skill, written exercises (pl.)"
ciuilis,570,831,657,618,669.0,True,True,True,
nocturnus,520,934,546,663,665.75,True,True,True,"nocturnal, of night, at night, by night"
reuoco,401,1238,463,558,665.0,True,True,True,
aspicio,618,1001,579,460,664.5,True,True,True,"look/gaze on/at, see, observe, behold, regard, face, consider, contemplate"
tenuitas,348,1439,365,506,664.5,True,True,True,"thinness/fineness/leanness, poverty, frugality, simpleness (style), subtlety"
appetitus,256,1442,487,471,664.0,True,True,True,"seek/grasp after, desire, assail, strive eagerly/long for, approach (of time), near"
immuto,312,1387,447,508,663.5,True,True,True,"change, alter, transform"
aduersus,524,1033,477,620,663.5,True,True,True,Against
ferus,528,1009,449,668,663.5,True,True,True,"wild, savage, uncivilized, untamed, fierce"
excludo,230,918,542,963,663.25,True,True,True,"shut out, shut off, remove, exclude, hinder, prevent"
crassitudo,614,1349,347,342,663.0,False,True,False,"thickness (measure), density/consistency (liquid), richness (soil), sediment"
aestiuus,475,980,458,737,662.5,False,True,False,
mando,463,1294,354,538,662.25,True,True,True,"order, command"
agnus,250,971,295,1131,661.75,True,True,True,lamb
effluo,354,1004,526,760,661.0,True,True,True,"flow out, flow forth, disappear, vanish, escape, be forgotten"
commemoro,629,794,423,797,660.75,True,True,True,"recall (to self/other), keep in mind, remember, mention/relate, place on record"
legitimus,185,1187,686,580,659.5,True,True,True,"lawful, right, legitimate, real, genuine, just, proper"
astrus,420,963,563,691,659.25,False,False,False,
gesto,368,975,677,609,657.25,True,True,True,"carry, carry on, manage, conduct, accomplish, perform"
immortalis,381,1079,567,602,657.25,True,True,True,"not subject to death, immortal"
crux,306,758,590,974,657.0,True,True,True,"crucifix, cross"
saepè,34,754,883,955,656.5,False,False,False,often
europa,465,630,564,967,656.5,False,True,False,Europe
pagus,468,556,869,730,655.75,False,True,False,"country district/community, canton"
sacerdos,583,1142,389,509,655.75,True,True,True,priest
timor,393,1188,400,637,654.5,True,True,True,"anxiety, fear"
conuersio,384,1301,582,350,654.25,True,True,True,
quicumque,362,546,665,1039,653.0,True,True,True,With him
propheta,441,847,444,877,652.25,False,False,True,"prophesy, foretell, predict"
angustia,382,1038,434,755,652.25,True,True,True,"narrow, reduce width/size/amount, constrict, limit, choke, crowd together/hamper"
complures,524,971,439,671,651.25,False,True,False,"many (pl.), several, a fair/good number, more than one (L+S)"
qvae,40,244,697,1623,651.0,False,False,False,"who, which, whom, that"
probabilis,190,687,457,1270,651.0,True,True,True,"commendable/admirable, justifiable, plausible/credible/demonstrable, probable"
strabo,877,717,453,554,650.25,False,False,False,squinter
decipio,423,1165,383,628,649.75,True,True,True,"cheat, deceive, mislead, dupe, trap, elude, escape notice, disappoint, frustrate, foil"
surgo,488,899,626,586,649.75,True,True,True,"get up, arise"
maritimus,483,902,660,553,649.5,False,True,False,"maritime, of/near/by the sea, coastal, relating/used to sea, seafaring/naval"
poeta,1100,780,346,371,649.25,True,True,True,poet
optimus,417,1001,385,794,649.25,False,True,False,"(1.) good, great, pleasant, favorable, valuable (2.) able, useful, satisfactory, talented, efficient"
dictum,283,988,473,852,649.0,True,True,True,"words/utterance/remark, one's word/promise, saying/maxim, bon mot, witticism"
monumentum,344,567,623,1061,648.75,True,True,True,"monument, tomb"
erumpo,479,853,412,848,648.0,True,True,True,"burst/pop (abscess/boil), cause (swelling) to burst, become dislocated (limb)"
firmamentum,128,684,798,981,647.75,True,True,True,"support, prop, mainstay, support group, firmament"
consulo,371,873,471,873,647.0,True,True,True,"interview, survey, consult"
zona,310,626,814,837,646.75,False,True,False,"zone, woman's girdle, (tunic) belt, money belt, climatic region"
frumentum,455,1110,374,646,646.25,True,True,True,"grain, pl. crops"
offendo,509,1095,407,571,645.5,True,True,True,"offend, give offense (to), displease, annoy, vex, trouble, upset, hurt (feelings)"
ri,503,1060,338,680,645.25,False,False,False,
obsto,278,721,460,1119,644.5,True,True,True,"oppose, hinder"
sedeo,422,1087,470,599,644.5,True,True,True,sit
epist,324,602,477,1173,644.0,False,False,False,
onus,401,727,556,892,644.0,True,True,True,"load, burden, cargo"
pecco,215,1019,503,833,642.5,True,True,True,"sin, do wrong, commit moral offense, blunder, stumble, be wrong"
apostolus,466,885,613,605,642.25,False,False,True,"apostle, missionary (one sent)"
viuo,249,995,819,506,642.25,False,False,False,
ludus,460,982,378,747,641.75,True,True,True,"game, school, sport, pastime, diversion"
diffundo,464,803,502,795,641.0,True,True,True,"diffuse, spread/pour out/widely, bottle/draw off, squander, distribute lavishly"
uanus,388,989,510,676,640.75,True,True,True,
arabis,461,615,310,1177,640.75,False,False,False,"plow, till, cultivate, produce by plowing, grow, furrow, wrinkle"
cunctus,413,1212,462,474,640.25,True,True,True,"altogether (usu. pl.), in a body, every, all, entire, total/complete, whole of"
crystallus,187,507,863,1003,640.0,False,True,False,"ice, rock crystal, crystal drinking cup, crystal-ware (pl.)"
fluxio,373,1753,291,140,639.25,False,False,False,
dioscoride,835,1255,219,246,638.75,False,False,False,
defluo,474,1068,475,538,638.75,True,True,True,"flow/glide/run down, descend/fall, flow/stream away, float/swim/row downstream"
coeo,472,1241,383,458,638.5,True,True,True,this
impero,451,1017,446,640,638.5,True,True,True,"command, rule"
diaphanus,15,1321,721,495,638.0,False,False,True,
administro,328,1661,292,271,638.0,True,True,True,"administer, manage, direct, assist, operate, conduct, maneuver (ship), bestow"
nonnihil,357,865,652,678,638.0,False,True,False,in some measure
aquosus,543,1465,253,287,637.0,True,True,True,"abounding in water, well watered, wet, humid, rainy, clear as water, watery"
stephanus,342,662,843,699,636.5,False,False,True,
mereo,294,651,532,1069,636.5,True,True,True,"earn, deserve/merit/have right, win/gain/incur, earn soldier/whore pay, serve"
